Kp,Ki,Kd,Cost
2.0000,0.5000,0.2221,1000005.4588
2.0000,0.5000,0.1514,1000005.4614
2.0000,0.5000,0.5050,1000005.4617
2.0000,0.5000,0.2929,1000005.4626
2.0000,0.5000,0.7171,1000005.4630
2.0000,0.5000,0.9293,1000005.4639
2.0000,0.3750,0.3636,1000005.4643
2.0000,0.3750,0.5757,1000005.4665
2.0000,0.3750,0.7879,1000005.4676
2.0000,0.3750,1.0000,1000005.4682
2.0000,0.2500,0.4343,1000005.4691
2.0000,0.2500,0.6464,1000005.4706
2.0000,0.1250,0.2221,1000005.4711
2.0000,0.1250,0.1514,1000005.4717
2.0000,0.2500,0.8586,1000005.4722
2.0000,0.1250,0.2929,1000005.4726
2.0000,0.1250,0.5050,1000005.4739
2.0000,0.1250,0.7171,1000005.4753
2.0000,0.5000,0.3636,1000005.4753
2.0000,0.0000,0.3636,1000005.4763
2.0000,0.1250,0.9293,1000005.4765
2.0000,0.5000,0.5757,1000005.4775
2.0000,0.5000,0.7879,1000005.4785
2.0000,0.0000,0.5757,1000005.4786
2.0000,0.5000,1.0000,1000005.4790
2.0000,0.0000,0.7879,1000005.4799
2.0000,0.3750,0.4343,1000005.4801
2.0000,0.0000,1.0000,1000005.4807
2.0000,0.3750,0.6464,1000005.4816
2.0000,0.2500,0.2221,1000005.4821
2.0000,0.3750,0.8586,1000005.4831
2.0000,0.2500,0.1514,1000005.4834
2.0000,0.2500,0.2929,1000005.4844
2.0000,0.2500,0.5050,1000005.4849
2.0000,0.2500,0.7171,1000005.4863
2.0000,0.2500,0.9293,1000005.4874
2.0000,0.1250,0.3636,1000005.4874
2.0000,0.5000,0.0807,1000005.4895
2.0000,0.1250,0.5757,1000005.4897
2.0000,0.1250,0.7879,1000005.4909
2.0000,0.5000,0.4343,1000005.4912
2.0000,0.1250,1.0000,1000005.4917
2.0000,0.0000,0.4343,1000005.4922
2.0000,0.5000,0.6464,1000005.4926
2.0000,0.3750,0.2221,1000005.4931
2.0000,0.0000,0.6464,1000005.4939
2.0000,0.5000,0.8586,1000005.4940
2.0000,0.3750,0.1514,1000005.4951
2.0000,0.0000,0.8586,1000005.4955
2.0000,0.3750,0.5050,1000005.4960
2.0000,0.3750,0.2929,1000005.4961
2.0000,0.3750,0.7171,1000005.4973
2.0000,0.3750,0.9293,1000005.4983
2.0000,0.2500,0.3636,1000005.4985
2.0000,0.2500,0.0807,1000005.5002
2.0000,0.2500,0.5757,1000005.5007
2.0000,0.2500,0.7879,1000005.5019
2.0000,0.2500,1.0000,1000005.5026
2.0000,0.1250,0.4343,1000005.5033
2.0000,0.1250,0.6464,1000005.5049
2.0000,0.0000,0.1514,1000005.5053
2.0000,0.0000,0.2221,1000005.5053
2.0000,0.0000,0.2929,1000005.5061
2.0000,0.1250,0.8586,1000005.5065
2.0000,0.0000,0.5050,1000005.5081
2.0000,0.0000,0.7171,1000005.5096
2.0000,0.0000,0.0807,1000005.5106
2.0000,0.0000,0.9293,1000005.5108
2.0000,0.3750,0.0807,1000005.5175
2.0000,0.1250,0.0807,1000005.5280
1.8579,0.5000,1.0000,1000005.5293
2.0000,0.5000,0.0100,1000005.5383
1.8579,0.5000,0.8586,1000005.5402
1.8579,0.5000,0.5050,1000005.5425
1.8579,0.3750,0.9293,1000005.5427
1.8579,0.2500,1.0000,1000005.5453
1.8579,0.3750,0.5757,1000005.5456
1.8579,0.2500,0.6464,1000005.5480
2.0000,0.2500,0.0100,1000005.5493
1.8579,0.5000,0.7171,1000005.5501
1.8579,0.2500,0.2929,1000005.5508
1.8579,0.1250,0.7171,1000005.5509
1.8579,0.5000,0.3636,1000005.5516
1.8579,0.3750,0.2221,1000005.5519
1.8579,0.3750,0.7879,1000005.5531
1.8579,0.0000,0.7879,1000005.5538
1.8579,0.3750,0.1514,1000005.5543
1.8579,0.3750,0.4343,1000005.5547
1.8579,0.2500,0.8586,1000005.5560
1.8579,0.5000,0.9293,1000005.5574
1.8579,0.2500,0.5050,1000005.5578
1.8579,0.1250,0.9293,1000005.5586
1.8579,0.3750,1.0000,1000005.5599
2.0000,0.0000,0.0100,1000005.5601
1.8579,0.5000,0.5757,1000005.5605
1.8579,0.1250,0.5757,1000005.5608
1.8579,0.0000,1.0000,1000005.5611
1.8579,0.3750,0.6464,1000005.5629
1.8579,0.0000,0.6464,1000005.5633
1.8579,0.0000,0.2929,1000005.5640
1.8579,0.2500,0.7171,1000005.5658
2.0000,0.3750,0.0100,1000005.5665
1.8579,0.3750,0.2929,1000005.5667
1.8579,0.1250,0.2221,1000005.5668
1.8579,0.2500,0.3636,1000005.5668
1.8579,0.5000,0.2221,1000005.5669
1.8579,0.1250,0.1514,1000005.5676
1.8579,0.5000,0.7879,1000005.5678
1.8579,0.1250,0.7879,1000005.5687
1.8579,0.5000,0.4343,1000005.5697
1.8579,0.1250,0.4343,1000005.5699
1.8579,0.5000,0.1514,1000005.5701
1.8579,0.3750,0.8586,1000005.5708
1.8579,0.0000,0.8586,1000005.5715
1.8579,0.3750,0.5050,1000005.5728
1.8579,0.0000,0.5050,1000005.5729
1.8579,0.2500,0.9293,1000005.5733
1.8579,0.1250,1.0000,1000005.5759
1.8579,0.2500,0.5757,1000005.5759
2.0000,0.1250,0.0100,1000005.5774
1.8579,0.5000,0.6464,1000005.5777
1.8579,0.1250,0.6464,1000005.5783
1.8579,0.1250,0.2929,1000005.5801
1.8579,0.3750,0.0807,1000005.5806
1.8579,0.3750,0.7171,1000005.5807
1.8579,0.0000,0.7171,1000005.5812
1.8579,0.0000,0.3636,1000005.5818
1.8579,0.3750,0.3636,1000005.5819
1.8579,0.2500,0.2221,1000005.5820
1.8579,0.5000,0.0100,1000005.5824
1.8579,0.5000,0.2929,1000005.5826
1.8579,0.2500,0.7879,1000005.5836
1.8579,0.2500,0.1514,1000005.5836
1.8579,0.2500,0.4343,1000005.5850
1.8579,0.1250,0.8586,1000005.5865
1.8579,0.1250,0.5050,1000005.5880
1.8579,0.1250,0.0807,1000005.5882
1.8579,0.0000,0.9293,1000005.5890
1.8579,0.0000,0.5757,1000005.5911
1.8579,0.2500,0.0100,1000005.5914
1.8579,0.0000,0.1514,1000005.5968
1.8579,0.0000,0.2221,1000005.5968
1.8579,0.1250,0.3636,1000005.5970
1.8579,0.5000,0.0807,1000005.5994
1.8579,0.0000,0.0100,1000005.5998
1.8579,0.0000,0.4343,1000005.6001
1.8579,0.2500,0.0807,1000005.6071
1.8579,0.3750,0.0100,1000005.6096
1.8579,0.0000,0.0807,1000005.6146
1.8579,0.1250,0.0100,1000005.6183
1.7157,0.5000,0.7879,1000005.6234
1.7157,0.5000,0.4343,1000005.6236
1.7157,0.5000,0.1514,1000005.6237
1.7157,0.3750,0.8586,1000005.6258
1.7157,0.3750,0.5050,1000005.6262
1.7157,0.2500,0.9293,1000005.6278
1.7157,0.2500,0.5757,1000005.6287
1.7157,0.1250,1.0000,1000005.6298
1.7157,0.5000,1.0000,1000005.6312
1.7157,0.5000,0.6464,1000005.6325
1.7157,0.2500,0.2221,1000005.6336
1.7157,0.3750,0.3636,1000005.6346
1.7157,0.3750,0.7171,1000005.6350
1.7157,0.2500,0.1514,1000005.6353
1.7157,0.5000,0.2929,1000005.6360
1.7157,0.2500,0.4343,1000005.6372
1.7157,0.2500,0.7879,1000005.6374
1.7157,0.1250,0.8586,1000005.6397
1.7157,0.1250,0.5050,1000005.6398
1.7157,0.5000,0.8586,1000005.6413
1.7157,0.0000,0.9293,1000005.6418
1.7157,0.5000,0.5050,1000005.6419
1.7157,0.0000,0.5757,1000005.6423
1.7157,0.3750,0.9293,1000005.6434
1.7157,0.3750,0.5757,1000005.6445
1.7157,0.2500,1.0000,1000005.6454
1.7157,0.2500,0.6464,1000005.6464
1.7157,0.0000,0.1514,1000005.6467
1.7157,0.0000,0.2221,1000005.6467
1.7157,0.2500,0.2929,1000005.6478
1.7157,0.5000,0.0807,1000005.6481
1.7157,0.1250,0.3636,1000005.6481
1.7157,0.1250,0.7171,1000005.6488
1.7157,0.3750,0.2221,1000005.6496
1.7157,0.5000,0.3636,1000005.6504
1.7157,0.0000,0.4343,1000005.6506
